sample_id,timestamp,device,scenario,distance_m,position_id,blockage,rssi_dbm,notes
91,2026-05-31 15:43:14,iphone 17,wifi_physical_sanity,10.0,P10,normal,-46.0,ssid=TP_Link_Router; rep=1
92,2026-05-31 15:43:18,iphone 17,wifi_physical_sanity,10.0,P10,normal,-46.0,ssid=TP_Link_Router; rep=2
93,2026-05-31 15:43:20,iphone 17,wifi_physical_sanity,10.0,P10,normal,-50.0,ssid=TP_Link_Router; rep=3
94,2026-05-31 15:43:22,iphone 17,wifi_physical_sanity,10.0,P10,normal,-51.0,ssid=TP_Link_Router; rep=4
95,2026-05-31 15:43:24,iphone 17,wifi_physical_sanity,10.0,P10,normal,-50.0,ssid=TP_Link_Router; rep=5
96,2026-05-31 15:43:26,iphone 17,wifi_physical_sanity,10.0,P10,normal,-52.0,ssid=TP_Link_Router; rep=6
97,2026-05-31 15:43:29,iphone 17,wifi_physical_sanity,10.0,P10,normal,-52.0,ssid=TP_Link_Router; rep=7
98,2026-05-31 15:43:31,iphone 17,wifi_physical_sanity,10.0,P10,normal,-46.0,ssid=TP_Link_Router; rep=8
99,2026-05-31 15:43:33,iphone 17,wifi_physical_sanity,10.0,P10,normal,-47.0,ssid=TP_Link_Router; rep=9
100,2026-05-31 15:43:37,iphone 17,wifi_physical_sanity,10.0,P10,normal,-51.0,ssid=TP_Link_Router; rep=10
101,2026-05-31 15:45:00,iphone 17,wifi_physical_sanity,1.0,P1,blocked,-50.0,ssid=TP_Link_Router; rep=1
102,2026-05-31 15:45:02,iphone 17,wifi_physical_sanity,1.0,P1,blocked,-60.0,ssid=TP_Link_Router; rep=2
103,2026-05-31 15:45:03,iphone 17,wifi_physical_sanity,1.0,P1,blocked,-55.0,ssid=TP_Link_Router; rep=3
104,2026-05-31 15:45:05,iphone 17,wifi_physical_sanity,1.0,P1,blocked,-48.0,ssid=TP_Link_Router; rep=4
105,2026-05-31 15:45:07,iphone 17,wifi_physical_sanity,1.0,P1,blocked,-47.0,ssid=TP_Link_Router; rep=5
106,2026-05-31 15:45:09,iphone 17,wifi_physical_sanity,1.0,P1,blocked,-46.0,ssid=TP_Link_Router; rep=6
107,2026-05-31 15:45:11,iphone 17,wifi_physical_sanity,1.0,P1,blocked,-47.0,ssid=TP_Link_Router; rep=7
108,2026-05-31 15:45:15,iphone 17,wifi_physical_sanity,1.0,P1,blocked,-47.0,ssid=TP_Link_Router; rep=8
109,2026-05-31 15:45:17,iphone 17,wifi_physical_sanity,1.0,P1,blocked,-50.0,ssid=TP_Link_Router; rep=9
110,2026-05-31 15:45:20,iphone 17,wifi_physical_sanity,1.0,P1,blocked,-58.0,ssid=TP_Link_Router; rep=10
111,2026-05-31 15:45:43,iphone 17,wifi_physical_sanity,2.0,P2,blocked,-42.0,ssid=TP_Link_Router; rep=1
112,2026-05-31 15:45:45,iphone 17,wifi_physical_sanity,2.0,P2,blocked,-39.0,ssid=TP_Link_Router; rep=2
113,2026-05-31 15:45:48,iphone 17,wifi_physical_sanity,2.0,P2,blocked,-41.0,ssid=TP_Link_Router; rep=3
114,2026-05-31 15:45:52,iphone 17,wifi_physical_sanity,2.0,P2,blocked,-39.0,ssid=TP_Link_Router; rep=4
115,2026-05-31 15:45:57,iphone 17,wifi_physical_sanity,2.0,P2,blocked,-39.0,ssid=TP_Link_Router; rep=5
116,2026-05-31 15:45:59,iphone 17,wifi_physical_sanity,2.0,P2,blocked,-37.0,ssid=TP_Link_Router; rep=6
117,2026-05-31 15:46:05,iphone 17,wifi_physical_sanity,2.0,P2,blocked,-39.0,ssid=TP_Link_Router; rep=7
118,2026-05-31 15:46:07,iphone 17,wifi_physical_sanity,2.0,P2,blocked,-50.0,ssid=TP_Link_Router; rep=8
119,2026-05-31 15:46:09,iphone 17,wifi_physical_sanity,2.0,P2,blocked,-42.0,ssid=TP_Link_Router; rep=9
120,2026-05-31 15:46:12,iphone 17,wifi_physical_sanity,2.0,P2,blocked,-45.0,ssid=TP_Link_Router; rep=10
121,2026-05-31 15:46:35,iphone 17,wifi_physical_sanity,3.0,P3,blocked,-50.0,ssid=TP_Link_Router; rep=1
122,2026-05-31 15:46:36,iphone 17,wifi_physical_sanity,3.0,P3,blocked,-40.0,ssid=TP_Link_Router; rep=2
123,2026-05-31 15:46:38,iphone 17,wifi_physical_sanity,3.0,P3,blocked,-48.0,ssid=TP_Link_Router; rep=3
124,2026-05-31 15:46:40,iphone 17,wifi_physical_sanity,3.0,P3,blocked,-42.0,ssid=TP_Link_Router; rep=4
125,2026-05-31 15:46:43,iphone 17,wifi_physical_sanity,3.0,P3,blocked,-40.0,ssid=TP_Link_Router; rep=5
