stress_group,stress_level,stress_parameter,stress_value,method_label,n_seeds,mean_error_m_mean,mean_error_m_std,mean_error_m_ci95_low,mean_error_m_ci95_high,median_error_m_mean,median_error_m_std,p90_error_m_mean,p90_error_m_std,p90_error_m_ci95_low,p90_error_m_ci95_high,failure_rate_mean,failure_rate_std,zone_accuracy_mean,zone_accuracy_std,trajectory_smoothness_m_per_step_mean,trajectory_smoothness_m_per_step_std
wifi_noise,6.0,noisy_sigma_db,6.0,vlp_only,10,0.47053703608896236,0.035703644282840015,0.4449961875829127,0.496077884595012,0.4096473769915595,0.03331711486922785,0.8274763953544128,0.20891251047520998,0.6780293882423025,0.976923402466523,0.004,0.0051639777949432225,0.9359999999999999,0.04427188724235732,0.47781419366022126,0.06405445781671022
wifi_noise,6.0,noisy_sigma_db,6.0,adaptive_fusion,10,0.470734438310943,0.03568891931417414,0.4452041234129187,0.49626475320896735,0.4101599063933105,0.03372399217608239,0.8274763953544128,0.20891251047520998,0.6780293882423025,0.976923402466523,0.004,0.0051639777949432225,0.9359999999999999,0.04427188724235732,0.47781419366022126,0.06405445781671022
wifi_noise,6.0,noisy_sigma_db,6.0,static_fusion,10,0.4799600270235388,0.03747101143539036,0.45315488021952655,0.506765173827551,0.4092035241621508,0.032659610190755556,0.8284277171826513,0.20846848450512717,0.6792983471146701,0.9775570872506325,0.006,0.006992058987801011,0.933,0.04398231968012197,0.4928417083604881,0.08013200503183723
wifi_noise,6.0,noisy_sigma_db,6.0,graph_diffusion_3,10,1.0713854752000462,0.14753082197224504,0.9658482828586721,1.1769226675414204,0.8306748833176594,0.08833751813975577,2.1426244437147837,0.4341211170711743,1.8320729045902198,2.4531759828393476,0.12100000000000002,0.06026792034094276,0.5930000000000001,0.05313504806936127,1.3350922089867332,0.15803011249742005
wifi_noise,6.0,noisy_sigma_db,6.0,wifi_only,10,2.185410353088048,0.347698076521087,1.936682132855972,2.4341385733201246,1.57621883737205,0.20189853384293563,4.786784230046121,1.0829120795364005,4.012115595390703,5.561452864701539,0.395,0.0552268050859363,0.311,0.05724217559340898,2.9935661672663416,0.4962915987943555
wifi_noise,9.0,noisy_sigma_db,9.0,vlp_only,10,0.47053703608896236,0.035703644282840015,0.4449961875829127,0.496077884595012,0.4096473769915595,0.03331711486922785,0.8274763953544128,0.20891251047520998,0.6780293882423025,0.976923402466523,0.004,0.0051639777949432225,0.9359999999999999,0.04427188724235732,0.47781419366022126,0.06405445781671022
wifi_noise,9.0,noisy_sigma_db,9.0,adaptive_fusion,10,0.470734438310943,0.03568891931417414,0.4452041234129187,0.49626475320896735,0.4101599063933105,0.03372399217608239,0.8274763953544128,0.20891251047520998,0.6780293882423025,0.976923402466523,0.004,0.0051639777949432225,0.9359999999999999,0.04427188724235732,0.47781419366022126,0.06405445781671022
wifi_noise,9.0,noisy_sigma_db,9.0,static_fusion,10,0.4976972374855115,0.05687690469533887,0.4570099509214655,0.5383845240495575,0.4113962583664139,0.03329168260057665,0.8320311826594663,0.21108388815671003,0.6810308655274244,0.9830314997915082,0.009000000000000001,0.008755950357709132,0.931,0.04508017549014447,0.5230678040138939,0.11766851884934945
wifi_noise,9.0,noisy_sigma_db,9.0,graph_diffusion_3,10,1.2127575409687512,0.15783834496375548,1.0998467908719487,1.3256682910655537,0.9014869147952543,0.08139053241241445,2.6151614497846793,0.4514838608823728,2.292189351968175,2.9381335476011836,0.16799999999999998,0.06124631508189788,0.5450000000000002,0.04301162633521313,1.520730145829383,0.1473982485368508
wifi_noise,9.0,noisy_sigma_db,9.0,wifi_only,10,2.4941400165301824,0.3680408734510362,2.230859436027508,2.7574205970328567,1.7141491313603858,0.22411606803762704,5.671220069882347,1.2042523068839281,4.809749865621825,6.532690274142869,0.437,0.05657836257007719,0.28700000000000003,0.0676674876797483,3.396180137546837,0.4691558651332623
