scenario,method_family,method_label,n_seeds,mean_error_m_mean,mean_error_m_std,mean_error_m_ci95_low,mean_error_m_ci95_high,median_error_m_mean,median_error_m_std,p90_error_m_mean,p90_error_m_std,p90_error_m_ci95_low,p90_error_m_ci95_high,failure_rate_mean,failure_rate_std,trajectory_smoothness_m_per_step_mean,trajectory_smoothness_m_per_step_std,zone_accuracy_mean,zone_accuracy_std
s3_vlp_blocked,adaptive,adaptive_fusion,10,0.8057881411934629,0.09491277426152166,0.7378916326606486,0.8736846497262771,0.5276222112303012,0.04762696202708586,1.7047508866368932,0.4747654589162121,1.365124136884849,2.0443776363889374,0.08300000000000002,0.03831158803518562,0.6790433601686631,0.06612886417630041,0.765,0.05797509043642029
s3_vlp_blocked,gsp_expected,graph_diffusion_3,10,0.9265912712053606,0.07601438399048051,0.8722138566646644,0.9809686857460567,0.7448031066299476,0.0766439008635514,1.8653584019292164,0.1467747834761425,1.760362046947209,1.9703547569112239,0.08399999999999999,0.019550504398153576,1.1033695984299823,0.08642128943080071,0.6579999999999999,0.05692099788303083
s3_vlp_blocked,dsp_static,static_fusion_median,10,0.9719821061373624,0.09618340518821486,0.9031766429961982,1.0407875692785264,0.7436846201616863,0.09081262225155208,1.8417588936155647,0.41954074917083956,1.5416375213600981,2.141880265871031,0.093,0.03433495141818157,0.6191711671029172,0.06204266803485947,0.6769999999999999,0.06717307661721487
s3_vlp_blocked,baseline,static_fusion,10,1.0778618606040102,0.11642938092637689,0.9945732989004373,1.161150422307583,0.5493925236887949,0.08988308358930217,2.9088377165306243,0.4322965866226701,2.5995913678625517,3.218084065198697,0.184,0.04501851470969102,1.3290309379473784,0.16723515576290443,0.7040000000000001,0.06719788356455547
s3_vlp_blocked,baseline,vlp_only,10,1.0792123228787265,0.11593382603507224,0.9962782597889359,1.162146385968517,0.5501427713814196,0.08952579925413487,2.9199353024183,0.4288637652619462,2.6131446462175845,3.2267259586190153,0.185,0.04453463071962462,1.3303540271340766,0.16597725284631504,0.7040000000000001,0.06719788356455547
s3_vlp_blocked,baseline,wifi_only,10,1.357438801077118,0.1500835895433217,1.250075468824436,1.4648021333297998,1.0909892096204732,0.0698056688957036,2.6863242175774986,0.40789447770067366,2.3945340860470243,2.978114349107973,0.187,0.042700507413066344,1.903374192542077,0.26286592832820205,0.461,0.030349812373573423
s4_mixed_dynamic,adaptive,adaptive_fusion,10,0.6443970627885327,0.07035784720087335,0.5940660909041592,0.6947280346729062,0.4610507090363292,0.03115280126610765,1.2536057357571282,0.255868133233394,1.0705686996307977,1.4366427718834587,0.039999999999999994,0.024944382578492946,0.570834920940434,0.0747009425945901,0.853,0.046678569910494135
s4_mixed_dynamic,baseline,static_fusion,10,0.8105189108275315,0.1040738722318499,0.736068947595369,0.8849688740596939,0.4660966013683078,0.03135371984709849,1.9569602597313438,0.6664188537076038,1.4802329304625554,2.433687589000132,0.10300000000000001,0.029078437983419185,0.9799996799759771,0.16025014977117003,0.818,0.053707024162994214
s4_mixed_dynamic,baseline,vlp_only,10,0.8105189108275315,0.1040738722318499,0.736068947595369,0.8849688740596939,0.4660966013683078,0.03135371984709849,1.9569602597313438,0.6664188537076038,1.4802329304625554,2.433687589000132,0.10300000000000001,0.029078437983419185,0.9799996799759771,0.16025014977117003,0.818,0.053707024162994214
s4_mixed_dynamic,dsp_static,static_fusion_median,10,0.8288271253213322,0.05276281466644802,0.7910828814712383,0.8665713691714261,0.7060298590670495,0.0567304686607249,1.3647852165145031,0.15786042439772374,1.2518586717421314,1.4777117612868749,0.043,0.02406010991015812,0.502390613316544,0.07700193980792368,0.748,0.04984420171338331
