cell_id,row,col,x,y,p_wifi,p_vlp,p_static_raw,p_graph_diffusion_1,p_graph_diffusion_3,p_laplacian
74,7,4,4.5,7.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,2.3613749195140996e-10,1.3680875586275774e-06,4.2192972041632995e-06
75,7,5,5.5,7.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,2.5307352674761087e-10,1.5329360018783584e-06,7.654998555745066e-06
76,7,6,6.5,7.5,5.424861885150229e-12,9.999999999019997e-13,3.2124309425261142e-12,1.0499671027114935e-08,3.0969877204169864e-06,1.5849073463708763e-05
77,7,7,7.5,7.5,5.724484644963134e-08,9.999999999019997e-13,2.8622923224815613e-08,1.1237340065711431e-06,1.6783162725660415e-05,1.6189082143061633e-05
78,7,8,8.5,7.5,1.67887796986967e-05,9.999999999019997e-13,8.394390349348347e-06,3.238816628610314e-05,0.000109779141115599,6.116913049706248e-05
79,7,9,9.5,7.5,0.00038399528443250065,9.999999999019997e-13,0.00019199764271625027,0.000280281820689649,0.0004289625132393797,0.0002850444179821654
80,8,0,0.5,8.5,2.947448171535855e-05,9.999999999019997e-13,1.4737241357679271e-05,2.2047201122598225e-05,4.3638384613339717e-05,2.599558746710836e-05
81,8,1,1.5,8.5,5.692796133614803e-07,9.999999999019997e-13,2.8464030668074004e-07,1.5137400280517757e-06,7.726031095817053e-06,4.899818072845832e-06
82,8,2,2.5,8.5,2.1626987382304243e-10,9.999999999019997e-13,1.0863493691147219e-10,1.928458826506329e-08,6.413645505311622e-07,9.446597076482222e-07
83,8,3,3.5,8.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,7.852437764559312e-12,4.059537626483887e-08,3.458460072092171e-07
84,8,4,4.5,8.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,1.001571798196694e-12,8.843456084987241e-09,3.7675508060042125e-07
85,8,5,5.5,8.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,1.001571798196694e-12,9.692278901705631e-09,6.724478137342802e-07
86,8,6,6.5,8.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,9.458596979310138e-12,5.384945289847861e-08,1.3183678616743512e-06
87,8,7,7.5,8.5,2.6677524387170124e-10,9.999999999019997e-13,1.3388762193580158e-10,2.5408508439884477e-08,9.262926295956262e-07,1.8112540776501741e-06
88,8,8,8.5,8.5,7.512936761399177e-07,9.999999999019997e-13,3.756473380699587e-07,2.095719903435405e-06,1.1514004856978653e-05,7.614542753561447e-06
89,8,9,9.5,8.5,4.103866119821392e-05,9.999999999019997e-13,2.0519331099106958e-05,3.173788314430323e-05,6.707176900533548e-05,3.8757630819909406e-05
90,9,0,0.5,9.5,4.8621766517818376e-06,9.999999999019997e-13,2.4310888258909185e-06,3.676927162302124e-06,8.259133990478733e-06,4.254659287885163e-06
91,9,1,1.5,9.5,9.095988745460378e-08,9.999999999019997e-13,4.548044372730183e-08,2.608318501198016e-07,1.2632058046040799e-06,7.494357286044083e-07
92,9,2,2.5,9.5,3.319116247284124e-11,9.999999999019997e-13,1.709558123637162e-11,3.817986594667168e-09,8.558208080313883e-08,1.3338267385329313e-07
93,9,3,3.5,9.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,2.344978485024501e-12,2.5757998649227147e-09,3.970836802781629e-08
94,9,4,4.5,9.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,1.001571798196694e-12,2.906490527176693e-11,3.697010329910159e-08
95,9,5,5.5,9.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,1.001571798196694e-12,3.608644781843166e-11,6.413789426008307e-08
96,9,6,6.5,9.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,2.606783214746151e-12,3.3520239760921756e-09,1.2436470834769857e-07
97,9,7,7.5,9.5,3.946461538418775e-11,9.999999999019997e-13,2.0232307692044873e-11,4.806707607282355e-09,1.1498492675098663e-07,2.342254525856471e-07
