seed,scenario,method_family,method_label,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step
105,s3_vlp_blocked,baseline,wifi_only,1.494204646977188,1.0893256394552742,3.390196907250577,0.46,0.25,2.098783241931102
105,s3_vlp_blocked,baseline,vlp_only,1.043055168681014,0.5280714247528739,2.698797420625102,0.7,0.21,1.4215619357137004
105,s3_vlp_blocked,baseline,static_fusion,1.043055168681014,0.5280714247528739,2.698797420625102,0.7,0.21,1.4215619357137004
105,s4_mixed_dynamic,baseline,wifi_only,1.8913497904281515,1.5325407947630365,3.8632258400080377,0.37,0.35,2.7517306461601696
105,s4_mixed_dynamic,baseline,vlp_only,0.8014179790774633,0.4253540856842672,2.401300481298985,0.82,0.14,1.0040490888495317
105,s4_mixed_dynamic,baseline,static_fusion,0.8014179790774633,0.4253540856842672,2.401300481298985,0.82,0.14,1.0040490888495317
101,s1_clean,dsp_static,static_fusion_raw,0.4690428504901468,0.4202120253923582,0.7889094314575232,0.93,0.0,0.435779147714454
101,s1_clean,dsp_static,static_fusion_moving_average,0.6230539943467651,0.6092486432801927,0.975919034021518,0.9,0.0,0.3608881016298773
101,s1_clean,dsp_static,static_fusion_median,0.6526687510260147,0.6303585907519691,1.0746505646501507,0.88,0.0,0.3692560523848893
101,s1_clean,dsp_static,static_fusion_ema,0.626846763000193,0.5828152954912287,1.0321750398588403,0.88,0.0,0.3953751073104136
101,s2_wifi_degraded,dsp_static,static_fusion_raw,0.4747966065737545,0.4312906007852566,0.7324910383168483,0.93,0.01,0.5366953576630861
101,s2_wifi_degraded,dsp_static,static_fusion_moving_average,0.6553922988036844,0.6303585907519691,1.0765016577794329,0.87,0.0,0.3608881016298773
101,s2_wifi_degraded,dsp_static,static_fusion_median,0.6726446606988418,0.6535809341615186,1.1139587586508333,0.87,0.0,0.3876586222346539
101,s2_wifi_degraded,dsp_static,static_fusion_ema,0.6087626727546912,0.5696597473325835,0.9633085241471312,0.91,0.0,0.3953751073104136
101,s3_vlp_blocked,dsp_static,static_fusion_raw,1.1517575853600277,0.5853322379312011,2.8761749647411783,0.65,0.22,1.434473844064955
101,s3_vlp_blocked,dsp_static,static_fusion_moving_average,1.098055457137,0.7649789060993137,2.384308415379338,0.63,0.22,0.6048851213323913
101,s3_vlp_blocked,dsp_static,static_fusion_median,0.9129305312903554,0.7256696364305335,1.744262306737081,0.73,0.1,0.6318369847556063
101,s3_vlp_blocked,dsp_static,static_fusion_ema,1.1033455638761018,0.8233924395037346,2.4130687216537376,0.61,0.21,0.6529117557507225
101,s4_mixed_dynamic,dsp_static,static_fusion_raw,0.6687505634050117,0.4621360452191105,1.147504710556281,0.85,0.06,0.7355440978915595
101,s4_mixed_dynamic,dsp_static,static_fusion_moving_average,0.726545104132777,0.6783241790411509,1.222614005818023,0.81,0.01,0.4274111969594421
101,s4_mixed_dynamic,dsp_static,static_fusion_median,0.7397932303581355,0.6748013934049066,1.2028601975654072,0.82,0.02,0.4844847478672489
101,s4_mixed_dynamic,dsp_static,static_fusion_ema,0.6828020058145965,0.6303585907519691,1.1139587586508333,0.84,0.01,0.4476132171614622
102,s1_clean,dsp_static,static_fusion_raw,0.4534430985952464,0.4342978842799154,0.7811391925964987,0.97,0.0,0.4702661533949903
102,s1_clean,dsp_static,static_fusion_moving_average,0.6967344458548755,0.6526459638249754,1.0836492625555303,0.81,0.0,0.3953751073104136
102,s1_clean,dsp_static,static_fusion_median,0.7026762364922898,0.6697572784905091,1.1146263849432736,0.81,0.0,0.4096600927889297
102,s1_clean,dsp_static,static_fusion_ema,0.6348735032588962,0.598657283792738,1.0313513119745998,0.86,0.0,0.3525201508748652
102,s2_wifi_degraded,dsp_static,static_fusion_raw,0.4424130664402262,0.4342978842799154,0.7144998913897004,0.97,0.0,0.4618982026399784
102,s2_wifi_degraded,dsp_static,static_fusion_moving_average,0.7047173802960038,0.6697572784905091,1.0836492625555303,0.81,0.0,0.3870071565554016
102,s2_wifi_degraded,dsp_static,static_fusion_median,0.708915975025817,0.6970848040704187,1.1146263849432736,0.81,0.0,0.3584371855983693
102,s2_wifi_degraded,dsp_static,static_fusion_ema,0.6375714500989281,0.5869677808535526,1.052110153761043,0.86,0.0,0.3608881016298773
102,s3_vlp_blocked,dsp_static,static_fusion_raw,0.9929580257820972,0.5176930096091821,2.739026172073153,0.77,0.16,1.1913032133240355
102,s3_vlp_blocked,dsp_static,static_fusion_moving_average,0.949590713536184,0.8077587962967993,1.807602567046754,0.67,0.08,0.6270862367133043
102,s3_vlp_blocked,dsp_static,static_fusion_median,0.9771831182361996,0.7748115106521787,1.7688185226031756,0.72,0.09,0.5841935329522282
102,s3_vlp_blocked,dsp_static,static_fusion_ema,0.8248725290787969,0.6697572784905091,1.7259996516960792,0.71,0.06,0.5140424214295579
102,s4_mixed_dynamic,dsp_static,static_fusion_raw,0.6341576803514319,0.4632878560887047,0.8577546135421579,0.9,0.07,0.7736515197452964
102,s4_mixed_dynamic,dsp_static,static_fusion_moving_average,0.7885986320716494,0.7147323977395212,1.3075048931806366,0.72,0.01,0.4500641331929701
102,s4_mixed_dynamic,dsp_static,static_fusion_median,0.8232048271452864,0.700175336467954,1.2467016966868534,0.76,0.06,0.4656952228757738
102,s4_mixed_dynamic,dsp_static,static_fusion_ema,0.7320793544488349,0.6147473275295179,1.2435066163607398,0.78,0.02,0.4643491186714862
103,s1_clean,dsp_static,static_fusion_raw,0.4408782375804591,0.4153217833274535,0.7136825181624598,0.97,0.0,0.423227221581936
103,s1_clean,dsp_static,static_fusion_moving_average,0.6359384475347201,0.5769238045502006,1.0232512738910664,0.85,0.0,0.328134155295339
103,s1_clean,dsp_static,static_fusion_median,0.6588730181365551,0.5769238045502006,1.0537157317813672,0.82,0.0,0.328134155295339
103,s1_clean,dsp_static,static_fusion_ema,0.5728944335520731,0.5378833551204807,0.9989711543243344,0.9,0.0,0.322217120571835
103,s2_wifi_degraded,dsp_static,static_fusion_raw,0.4677483400811955,0.4153217833274535,0.9081688342424128,0.94,0.0,0.4232272215819361
103,s2_wifi_degraded,dsp_static,static_fusion_moving_average,0.6179399348924007,0.5677416742611501,1.0165028589806573,0.87,0.0,0.3567041262523713
103,s2_wifi_degraded,dsp_static,static_fusion_median,0.6341066650504138,0.5677416742611501,1.0425539796481118,0.85,0.0,0.3424191407738551
103,s2_wifi_degraded,dsp_static,static_fusion_ema,0.5613683665346653,0.5308611039214873,0.9761616640345638,0.91,0.0,0.3163000858483309
103,s3_vlp_blocked,dsp_static,static_fusion_raw,0.9060097777344166,0.4878810318173871,2.1411100459436856,0.78,0.13,1.1313308711911108
103,s3_vlp_blocked,dsp_static,static_fusion_moving_average,0.8869317441197768,0.7783689050125253,1.6698732462803851,0.69,0.06,0.4636312619859764
103,s3_vlp_blocked,dsp_static,static_fusion_median,0.8709085040535948,0.5833041098642064,1.701873413445993,0.72,0.09,0.5927217657749667
103,s3_vlp_blocked,dsp_static,static_fusion_ema,0.8528407675942663,0.7109028164354481,1.7228838614836453,0.71,0.07,0.4896564258500318
103,s4_mixed_dynamic,dsp_static,static_fusion_raw,0.8361576903281486,0.5026539894127589,2.3231459919231385,0.82,0.13,0.9809871749276252
103,s4_mixed_dynamic,dsp_static,static_fusion_moving_average,0.8014221053860929,0.6445824373005894,1.5424423825339515,0.76,0.07,0.3828231811778955
103,s4_mixed_dynamic,dsp_static,static_fusion_median,0.831889884541257,0.5935943814354299,1.69098846500988,0.76,0.08,0.4896855413386261
