scenario,signal_variant,method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s2_wifi_degraded,raw,static_fusion,0.5104740090767603,0.39296890372024407,0.6841837291248524,0.94,0.01,0.629990844819416,0.0,0.0
s2_wifi_degraded,moving_average,wifi_only,1.5789232444324466,1.0041937848281854,3.297398486543002,0.5,0.19,1.1983770728613643,1.0,0.0
s2_wifi_degraded,moving_average,vlp_only,0.630515579351411,0.650813817019082,1.0504522126190792,0.86,0.0,0.326401095949341,0.0,0.0
s2_wifi_degraded,moving_average,static_fusion,0.630515579351411,0.650813817019082,1.0504522126190792,0.86,0.0,0.326401095949341,0.0,0.0
s2_wifi_degraded,median,wifi_only,1.6435946734513351,1.0163315557645238,3.3739555144023945,0.48,0.22,1.3627072115734993,2.0,0.0
s2_wifi_degraded,median,vlp_only,0.6644079566778762,0.6695905444832945,1.1312525054128053,0.82,0.0,0.3365021060503511,0.0,0.0
s2_wifi_degraded,median,static_fusion,0.6644079566778762,0.6695905444832945,1.1312525054128053,0.82,0.0,0.3365021060503511,0.0,0.0
s2_wifi_degraded,ema,wifi_only,1.4579947802370845,1.0102594760402037,3.241934400325307,0.49,0.18,1.2397600366005188,1.75,0.0
s2_wifi_degraded,ema,vlp_only,0.580829663461709,0.5546907070476299,0.9934792461908282,0.9,0.0,0.3323181306728451,0.0,0.0
s2_wifi_degraded,ema,static_fusion,0.580829663461709,0.5546907070476299,0.9934792461908282,0.9,0.0,0.3323181306728451,0.0,0.0
s3_vlp_blocked,raw,wifi_only,1.4854834072793108,1.0147789176047444,2.9397892227286575,0.49,0.21,2.214346400235757,0.0,0.0
s3_vlp_blocked,raw,vlp_only,0.9705085040336422,0.5053313303777734,2.878812927960542,0.75,0.12,1.2286483233355017,0.0,0.0
s3_vlp_blocked,raw,static_fusion,0.9705243034658246,0.5053313303777734,2.878812927960542,0.75,0.12,1.2345653580590057,0.0,0.0
s3_vlp_blocked,moving_average,wifi_only,0.7832481350083844,0.6906511167316827,1.5152750234379169,0.65,0.0,0.5088043524405177,0.0,0.0
s3_vlp_blocked,moving_average,vlp_only,1.0137584576065222,0.7762959809068122,2.064937436824354,0.67,0.11,0.4030252013799158,0.0,0.0
s3_vlp_blocked,moving_average,static_fusion,1.0137584576065222,0.7762959809068122,2.064937436824354,0.67,0.11,0.4030252013799158,0.0,0.0
s3_vlp_blocked,median,wifi_only,0.8670393737693176,0.8406871727769059,1.5205818212283266,0.63,0.02,0.5855612398836075,0.0,0.0
s3_vlp_blocked,median,vlp_only,0.9760162016351067,0.7319019962310904,1.905656163298726,0.68,0.1,0.5878129828963429,0.0,0.0
s3_vlp_blocked,median,static_fusion,0.9760162016351067,0.7319019962310904,1.905656163298726,0.68,0.1,0.5878129828963429,0.0,0.0
s3_vlp_blocked,ema,wifi_only,0.8101474041271498,0.748665933048231,1.4728745504422394,0.64,0.0,0.6069998004378747,0.0,0.0
s3_vlp_blocked,ema,vlp_only,0.9572498997163811,0.7244683648457917,2.059855606023384,0.71,0.11,0.6210634482246321,0.0,0.0
s3_vlp_blocked,ema,static_fusion,0.9572498997163811,0.7244683648457917,2.059855606023384,0.71,0.11,0.6210634482246321,0.0,0.0
s4_mixed_dynamic,raw,wifi_only,1.7643165702026806,1.086988900756318,4.646363157784259,0.46,0.21,2.243147704841105,1.3333333333333333,0.0
s4_mixed_dynamic,raw,vlp_only,0.8553146014498416,0.44730967221629525,2.0158218357864652,0.82,0.1,1.0906494266716977,0.0,1.5
s4_mixed_dynamic,raw,static_fusion,0.8553146014498416,0.44730967221629525,2.0158218357864652,0.82,0.1,1.0906494266716977,0.0,1.5
s4_mixed_dynamic,moving_average,wifi_only,1.4440046651102996,0.9159398038948356,3.9398806840005274,0.53,0.18,0.6917705189317027,2.0,0.5
s4_mixed_dynamic,moving_average,vlp_only,0.7625171858301859,0.7155840581615995,1.2000694151230835,0.79,0.03,0.29538020896080086,0.0,0.0
s4_mixed_dynamic,moving_average,static_fusion,0.7625171858301859,0.7155840581615995,1.2000694151230835,0.79,0.03,0.29538020896080086,0.0,0.0
s4_mixed_dynamic,median,wifi_only,1.2465098329595594,0.9204528309254568,2.9939692748590683,0.55,0.14,0.6906225342586995,0.0,0.0
s4_mixed_dynamic,median,vlp_only,0.7804384256051499,0.6722439816639881,1.2539392893840178,0.78,0.03,0.46009875228772273,0.0,0.0
s4_mixed_dynamic,median,static_fusion,0.7804384256051499,0.6722439816639881,1.2539392893840178,0.78,0.03,0.46009875228772273,0.0,0.0
s4_mixed_dynamic,ema,wifi_only,1.3419238773142592,0.8714864824259229,2.6860449841256893,0.57,0.17,0.9297134400034607,1.3333333333333333,0.5
s4_mixed_dynamic,ema,vlp_only,0.7306720973277807,0.6407851853423082,1.2000694151230835,0.81,0.03,0.4408180436847217,0.0,0.0
s4_mixed_dynamic,ema,static_fusion,0.7306720973277807,0.6407851853423082,1.2000694151230835,0.81,0.03,0.4408180436847217,0.0,0.0
