scenario,ablation_stage,mean_error_m_mean,mean_error_m_std,median_error_m_mean,median_error_m_std,p90_error_m_mean,p90_error_m_std,zone_accuracy_mean,zone_accuracy_std,failure_rate_mean,failure_rate_std,trajectory_smoothness_m_per_step_mean,trajectory_smoothness_m_per_step_std
s2_wifi_degraded,VLP only,0.45068227641143344,0.0180844916494479,0.40548943347665317,0.0333350475721362,0.7573015007852776,0.08808003188406409,0.9480000000000001,0.013038404810405309,0.004,0.005477225575051661,0.461866146226433,0.0396540097915719
s2_wifi_degraded,WiFi only,2.2321939301598195,0.3108613156753795,1.5933809362910691,0.18901236894389892,5.079568210287954,1.096199938986315,0.32599999999999996,0.023021728866442673,0.392,0.06457553716385178,3.119568880986461,0.4445696731255205
s3_vlp_blocked,Adaptive DSP+GSP fusion,0.7513027719284759,0.031125879628748375,0.5055261987001938,0.014239904456722918,1.578013521249877,0.20061121680757812,0.7939999999999999,0.026076809620810545,0.074,0.011401754250991379,0.6722060133749421,0.06401384465739784
s3_vlp_blocked,Static fusion,1.0128609722046762,0.09193701268097035,0.5248618068976836,0.0369708789770869,2.666784306268732,0.30470384757417984,0.73,0.054313902456001116,0.16799999999999998,0.045497252664309304,1.2826470444705615,0.1377505466747866
s3_vlp_blocked,Static fusion + graph diffusion,0.9225053756129432,0.09091624441144204,0.7505110518678688,0.07499692977653225,1.8540934186647609,0.20041046594412312,0.6679999999999999,0.05630275304103703,0.084,0.023021728866442676,1.11805303519324,0.06987572284119858
s3_vlp_blocked,Static fusion + median DSP,0.9236813734472576,0.05072550031816109,0.6956559694952408,0.07449214974555805,1.7990822229738737,0.0872667767193894,0.718,0.02280350850198272,0.09,0.01224744871391589,0.600454140341501,0.019342019369868672
s3_vlp_blocked,VLP only,1.015034442360823,0.09147759948184615,0.5248618068976836,0.0369708789770869,2.6889794780440837,0.31514459305126624,0.73,0.054313902456001116,0.16999999999999998,0.04527692569068708,1.285293222843958,0.13540532448825046
s3_vlp_blocked,WiFi only,1.369477114096608,0.14601741567055646,1.0470503351421585,0.05590551661807596,2.7921193012339507,0.46984503583721104,0.476,0.025099800796022257,0.192,0.04604345773288535,1.977879715827995,0.23012720898367117
s4_mixed_dynamic,Adaptive DSP+GSP fusion,0.6111952356744953,0.07776933514512105,0.4599715490220107,0.03222875204437716,1.1979893480363395,0.3348394935221323,0.8699999999999999,0.0484767985741633,0.039999999999999994,0.02345207879911715,0.5353180494774548,0.0665451383587883
s4_mixed_dynamic,Static fusion,0.7591597029223794,0.10094495360599182,0.46014832972422726,0.028266629128520907,1.7491055266214055,0.7039972117172738,0.842,0.03492849839314602,0.1,0.03535533905932738,0.916976261617142,0.1543543441176247
s4_mixed_dynamic,Static fusion + graph diffusion,1.0835153737416774,0.07123028211404175,0.8888002272518468,0.06163072328984651,2.169417016484883,0.36521170271557796,0.5740000000000001,0.05319774431308152,0.11600000000000002,0.03847076812334269,1.3294768243653057,0.08090665213244246
s4_mixed_dynamic,Static fusion + median DSP,0.7936413894483039,0.036781332047047546,0.6779227284754958,0.05628459284610536,1.3615915993267835,0.20073481240385246,0.772,0.030331501776206218,0.044,0.025099800796022267,0.4627483883059099,0.03004960272456814
s4_mixed_dynamic,VLP only,0.7591597029223794,0.10094495360599182,0.46014832972422726,0.028266629128520907,1.7491055266214055,0.7039972117172738,0.842,0.03492849839314602,0.1,0.03535533905932738,0.916976261617142,0.1543543441176247
s4_mixed_dynamic,WiFi only,1.9176437074471688,0.2257353539227831,1.4443652657568076,0.29313555314158407,3.985815806956546,0.6141466937290401,0.358,0.07854934754662193,0.33599999999999997,0.09423375191511796,2.7142835638821365,0.4504930950785332
