scenario,method_family,method_label,n_seeds,mean_error_m_mean,mean_error_m_std,mean_error_m_ci95_low,mean_error_m_ci95_high,median_error_m_mean,median_error_m_std,p90_error_m_mean,p90_error_m_std,p90_error_m_ci95_low,p90_error_m_ci95_high,failure_rate_mean,failure_rate_std,trajectory_smoothness_m_per_step_mean,trajectory_smoothness_m_per_step_std,zone_accuracy_mean,zone_accuracy_std
s2_wifi_degraded,dsp_static,static_fusion_median,10,0.6905047845230461,0.0358175904489944,0.664882423840129,0.7161271452059632,0.6688182274203085,0.0503431342807945,1.1526012224968452,0.0718991117266761,1.101167696390011,1.204034748603679,0.001,0.0031622776601683,0.3847507184999731,0.0478892434982905,0.8150000000000001,0.038944404818493
s2_wifi_degraded,gsp_expected,graph_diffusion_3,10,1.0713854752000462,0.147530821972245,0.965848282858672,1.1769226675414204,0.8306748833176595,0.0883375181397557,2.142624443714783,0.4341211170711744,1.8320729045902189,2.4531759828393467,0.121,0.0602679203409427,1.3350922089867332,0.15803011249742,0.5930000000000001,0.0531350480693612
s3_vlp_blocked,adaptive,adaptive_fusion,10,0.8057881411934629,0.0949127742615216,0.7378916326606486,0.8736846497262771,0.5276222112303012,0.0476269620270858,1.7047508866368932,0.4747654589162121,1.365124136884849,2.044377636388937,0.083,0.0383115880351856,0.6790433601686631,0.0661288641763004,0.765,0.0579750904364202
s3_vlp_blocked,baseline,static_fusion,10,1.0778618606040102,0.1164293809263768,0.9945732989004372,1.161150422307583,0.5493925236887949,0.0898830835893021,2.9088377165306243,0.4322965866226701,2.599591367862552,3.218084065198697,0.184,0.045018514709691,1.3290309379473784,0.1672351557629044,0.7040000000000001,0.0671978835645554
s3_vlp_blocked,baseline,vlp_only,10,1.0792123228787265,0.1159338260350722,0.996278259788936,1.162146385968517,0.5501427713814196,0.0895257992541348,2.9199353024183,0.4288637652619462,2.6131446462175845,3.226725958619016,0.185,0.0445346307196246,1.3303540271340766,0.165977252846315,0.7040000000000001,0.0671978835645554
s3_vlp_blocked,baseline,wifi_only,10,1.357438801077118,0.1500835895433217,1.250075468824436,1.4648021333297998,1.0909892096204732,0.0698056688957036,2.6863242175774986,0.4078944777006736,2.3945340860470243,2.978114349107973,0.187,0.0427005074130663,1.903374192542077,0.262865928328202,0.461,0.0303498123735734
s3_vlp_blocked,dsp_static,static_fusion_median,10,0.9719821061373624,0.0961834051882148,0.9031766429961982,1.0407875692785264,0.7436846201616863,0.090812622251552,1.8417588936155649,0.4195407491708395,1.541637521360098,2.141880265871031,0.093,0.0343349514181815,0.6191711671029172,0.0620426680348594,0.6769999999999999,0.0671730766172148
s3_vlp_blocked,gsp_expected,graph_diffusion_3,10,0.9265912712053606,0.0760143839904805,0.8722138566646644,0.9809686857460568,0.7448031066299476,0.0766439008635514,1.8653584019292164,0.1467747834761425,1.760362046947209,1.970354756911224,0.0839999999999999,0.0195505043981535,1.1033695984299825,0.0864212894308007,0.6579999999999999,0.0569209978830308
s4_mixed_dynamic,adaptive,adaptive_fusion,10,0.6443970627885327,0.0703578472008733,0.5940660909041592,0.6947280346729062,0.4610507090363292,0.0311528012661076,1.2536057357571282,0.255868133233394,1.0705686996307977,1.436642771883459,0.0399999999999999,0.0249443825784929,0.570834920940434,0.0747009425945901,0.853,0.0466785699104941
s4_mixed_dynamic,baseline,static_fusion,10,0.8105189108275315,0.1040738722318499,0.736068947595369,0.8849688740596939,0.4660966013683078,0.0313537198470984,1.956960259731344,0.6664188537076038,1.4802329304625554,2.433687589000132,0.103,0.0290784379834191,0.9799996799759771,0.16025014977117,0.818,0.0537070241629942
