seed,scenario,method_family,method_label,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step
105,s3_vlp_blocked,gsp_expected,graph_diffusion_3,0.9535162717968478,0.7603231981783467,1.9167083824760376,0.65,0.08,1.1944337083605436
105,s3_vlp_blocked,gsp_expected,laplacian,0.956901180840362,0.7402010064322393,1.914481502547874,0.65,0.08,1.2289076145338993
105,s3_vlp_blocked,gsp_expected,static_raw,0.9556860656330548,0.7501069391049016,1.895057997103854,0.65,0.09,1.24936866198156
105,s4_mixed_dynamic,adaptive,adaptive_fusion,0.587177959931877,0.4344233829685999,1.204783929752404,0.85,0.03,0.444014316456951
105,s4_mixed_dynamic,baseline,static_fusion,0.8014179790774635,0.4253540856842674,2.401300481298981,0.82,0.14,1.0040490888495317
105,s4_mixed_dynamic,baseline,vlp_only,0.8014179790774635,0.4253540856842674,2.401300481298981,0.82,0.14,1.0040490888495317
105,s4_mixed_dynamic,baseline,wifi_only,1.891349790428151,1.5325407947630336,3.863225840008037,0.37,0.35,2.7517306461601696
105,s4_mixed_dynamic,dsp_static,static_fusion_ema,0.9697032676577332,0.7946831635899301,2.071576600386524,0.67,0.12,0.763780520997278
105,s4_mixed_dynamic,dsp_static,static_fusion_median,0.7928805795916916,0.7487985494052001,1.4134683479877612,0.74,0.03,0.4137776771601782
105,s4_mixed_dynamic,dsp_static,static_fusion_moving_average,0.9349840192533214,0.8226685182536785,1.8681715123068916,0.65,0.09,0.4423476481172104
105,s4_mixed_dynamic,dsp_static,static_fusion_raw,0.8014179790774635,0.4253540856842674,2.401300481298981,0.82,0.14,1.0040490888495317
105,s4_mixed_dynamic,gsp_expected,graph_diffusion_1,1.0700023068382776,0.9921918943325052,1.957648677755229,0.5,0.09,1.338271605954804
