t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity
20,s1_clean,7.571322716061035,2.6347148194743277,False,False,False,-57.01817233620736,-58.27520937532932,-49.262510328984995,-47.40668874824041,-61.050522200857834,-58.40612546078019,0.027726087855232187,0.028214714205345322,0.2179890059649898,0.21802513584538355,0.014931452951662285,0.015667615455058362,0.029303886176591385,0.03033055824220121
21,s1_clean,7.704726986928372,2.4931238219456597,False,False,False,-60.692410548234804,-58.411619059411834,-47.08428085860495,-46.51046206300357,-58.04938847771204,-58.65559146985781,0.027181211793761068,0.027183455988381126,0.2293363259597399,0.23092782901690534,0.01450372993169088,0.01495447963268756,0.028744920578876582,0.02905889452203571
22,s1_clean,7.701196953076577,2.16815646104391,False,False,False,-56.542665063993944,-58.318359552208534,-51.07591210032771,-45.329614040692555,-58.70858597855094,-59.05372538172816,0.02665190332627324,0.02737331927408325,0.24218228803027506,0.24286228613875938,0.014440962259237619,0.014181571759399433,0.02494009400720801,0.026246938006030677
23,s1_clean,7.655329139600928,1.9328868180562264,False,False,False,-58.631203807198446,-58.20268293675959,-44.79980107782635,-44.706661080609486,-57.93869009161123,-59.31419273458532,0.026895585366071364,0.027787617792823533,0.24313884970416735,0.2425240634944803,0.015547170249919542,0.013737658252041382,0.02411820852110893,0.024432756681837874
24,s1_clean,7.602021631114391,1.571641233574267,False,False,False,-57.66287711745938,-58.068574588941274,-44.742577079018616,-43.93962363239661,-63.605334364692716,-59.71253388602882,0.027426250324486055,0.02811663193729661,0.23170817459181295,0.23031508406596168,0.01355554391835118,0.013036714566444584,0.023086210468120146,0.021986631453885987
25,s1_clean,7.496118456242826,1.2679285911263276,False,False,False,-56.29702807637352,-57.886506249053724,-44.77628073370344,-44.04797413320761,-61.43553382621436,-60.01610766427191,0.030337222501533583,0.02878257206560435,0.20934588008959187,0.20877588785582518,0.014083437977522317,0.012574171336887822,0.019028465665743566,0.020171586752743983
26,s1_clean,7.213781174903376,0.8568255662582489,False,False,False,-57.92645486336484,-57.45636661091953,-44.55430431186149,-45.57315733758119,-60.53547042789431,-60.37809286032239,0.030238814266007007,0.03077835828008548,0.16899005219004865,0.16877671806520808,0.013229845188222521,0.01216419890643713,0.019042064522385417,0.017971686352675806
27,s1_clean,6.894230635172876,0.5695446452732373,False,False,False,-53.91529723605278,-56.974807854482584,-47.531523513432475,-47.31060304268903,-58.42790188338551,-60.60401181206532,0.033052370614709246,0.03333367107883194,0.13557421333545921,0.1375718597828654,0.01195116971480411,0.01202426588882608,0.015469150356715446,0.016546869354901673
28,s1_clean,6.483266315091463,0.4768582893029604,False,False,False,-56.944701884812574,-56.30215350605859,-48.87156644490795,-49.0204997633287,-61.3066276370785,-60.61572839631531,0.03741451112948011,0.037850632853431945,0.11544443569569866,0.11600333601825831,0.010819351989163416,0.012391982488502228,0.017555586572271298,0.015898720755610066
29,s1_clean,6.08112543865504,0.3893330184780748,False,False,False,-53.40620208805135,-55.59962726511365,-52.15118351112306,-50.439393084050394,-58.2588626687878,-60.645532510483456,0.0427202478455155,0.04301106168074497,0.09701087292678436,0.09731102670714786,0.013972206284736473,0.012726234792971173,0.016318976239195534,0.01524289596970247
